ID,Raw,Date,Data,Excel Date,
2668,"19th July 2022 @ The Gaslight Social, Casper, WY, USA",19th July 2022 ," The Gaslight Social, Casper, WY, USA",19/07/2022,
2669,"20th July 2022 @ The Pub Station, Billings, MT, USA",20th July 2022 ," The Pub Station, Billings, MT, USA",20/07/2022,
2670,"22nd July 2022 @ Moore Theatre, Seattle, WA, USA",22nd July 2022 ," Moore Theatre, Seattle, WA, USA",22/07/2022,
2671,"23rd July 2022 @ Koot’s, Anchorage, AK, USA",23rd July 2022 ," Koot’s, Anchorage, AK, USA",23/07/2022,
2672,"24th July 2022 @ Roseland Ballroom, Portland, OR, USA",24th July 2022 ," Roseland Ballroom, Portland, OR, USA",24/07/2022,
2673,"27th July 2022 @ Sunshine Theater, Albuquerque, NM, USA",27th July 2022 ," Sunshine Theater, Albuquerque, NM, USA",27/07/2022,
2674,"28th July 2022 @ The Van Buren, Phoenix, AZ, USA",28th July 2022 ," The Van Buren, Phoenix, AZ, USA",28/07/2022,
2675,"29th July 2022 @ House Of Blues, Las Vegas, NV, USA",29th July 2022 ," House Of Blues, Las Vegas, NV, USA",29/07/2022,
2676,"30th July 2022 @ The Wiltern, Los Angeles, CA, USA",30th July 2022 ," The Wiltern, Los Angeles, CA, USA",30/07/2022,
2677,"1st August 2022 @ Slack Key Lounge, Honolulu, HI, USA",1st August 2022 ," Slack Key Lounge, Honolulu, HI, USA",01/08/2022,
2678,"11th September 2022 @ Markthalle, Hamburg, Germany",11th September 2022 ," Markthalle, Hamburg, Germany",11/09/2022,
2679,"12th September 2022 @ Carlswerk, Cologne, Germany",12th September 2022 ," Carlswerk, Cologne, Germany",12/09/2022,
2680,"13th September 2022 @ Schlachthof, Wiesbaden, Germany",13th September 2022 ," Schlachthof, Wiesbaden, Germany",13/09/2022,
2681,"15th September 2022 @ Lost Evenings 5, Columbiahalle, Germany",15th September 2022 ," Lost Evenings 5, Columbiahalle, Germany",15/09/2022,
2682,"16th September 2022 @ Lost Evenings 5, Columbiahalle, Germany",16th September 2022 ," Lost Evenings 5, Columbiahalle, Germany",16/09/2022,
2683,"17th September 2022 @ Lost Evenings 5, Columbiahalle, Germany",17th September 2022 ," Lost Evenings 5, Columbiahalle, Germany",17/09/2022,
2684,"18th September 2022 @ Lost Evenings 5, Columbiahalle, Germany",18th September 2022 ," Lost Evenings 5, Columbiahalle, Germany",18/09/2022,
2685,"21st September 2022 @ The Hexagon, Reading, UK",21st September 2022 ," The Hexagon, Reading, UK",21/09/2022,
2686,"23rd September 2022 @ O2 Academy, Sheffield, UK",23rd September 2022 ," O2 Academy, Sheffield, UK",23/09/2022,
2687,"24th September 2022 @ O2 Academy, Oxford, UK",24th September 2022 ," O2 Academy, Oxford, UK",24/09/2022,
2688,"25th September 2022 @ Brixton Academy, London, UK",25th September 2022 ," Brixton Academy, London, UK",25/09/2022,
2689,"27th September 2022 @ Rock City, Nottingham, UK",27th September 2022 ," Rock City, Nottingham, UK",27/09/2022,
2690,"28th September 2022 @ The Institute, Birmingham, UK",28th September 2022 ," The Institute, Birmingham, UK",28/09/2022,
2691,"29th September 2022 @ Lisboa Ao Vivo, Lisbon, Portugal",29th September 2022 ," Lisboa Ao Vivo, Lisbon, Portugal",29/09/2022,
2692,"30th September 2022 @ The Junction, Cambridge, UK",30th September 2022 ," The Junction, Cambridge, UK",30/09/2022,
2693,"1st October 2022 @ UEA, Norwich, UK",1st October 2022 ," UEA, Norwich, UK",01/10/2022,
2694,"2nd October 2022 @ O2 Academy, Leeds, UK",2nd October 2022 ," O2 Academy, Leeds, UK",02/10/2022,
2695,"4th October 2022 @ SWG3, Glasgow, UK",4th October 2022 ," SWG3, Glasgow, UK",04/10/2022,
2696,"5th October 2022 @ Liquid Room, Edinburgh, UK",5th October 2022 ," Liquid Room, Edinburgh, UK",05/10/2022,
2697,"7th October 2022 @ The Empire, Coventry, UK",7th October 2022 ," The Empire, Coventry, UK",07/10/2022,
2698,"8th October 2022 @ O2 Academy, Liverpool, UK",8th October 2022 ," O2 Academy, Liverpool, UK",08/10/2022,
2699,"9th October 2022 @ The Lemon Tree, Aberdeen, UK",9th October 2022 ," The Lemon Tree, Aberdeen, UK",09/10/2022,
2700,"11th October 2022 @ The Academy, Manchester, UK",11th October 2022 ," The Academy, Manchester, UK",11/10/2022,
2701,"12th October 2022 @ The Tramshed, Cardiff, UK",12th October 2022 ," The Tramshed, Cardiff, UK",12/10/2022,
2702,"13th October 2022 @ O2 Academy, Bristol, UK",13th October 2022 ," O2 Academy, Bristol, UK",13/10/2022,
2703,"14th October 2022 @ O2 Guildhall, Southampton, UK",14th October 2022 ," O2 Guildhall, Southampton, UK",14/10/2022,
2704,"22nd November 2022 @ Rockhal, Luxembourg",22nd November 2022 ," Rockhal, Luxembourg",22/11/2022,
2705,"23rd November 2022 @ 013 Poppodium, Tilburg, Netherlands",23rd November 2022 ," 013 Poppodium, Tilburg, Netherlands",23/11/2022,
2706,"25th November 2022 @ Münsterhalle, Münster, Germany",25th November 2022 ," Münsterhalle, Münster, Germany",25/11/2022,
2707,"26th November 2022 @ Münsterhalle, Münster, Germany",26th November 2022 ," Münsterhalle, Münster, Germany",26/11/2022,
2708,"27th November 2022 @ Big Box, Kempten, Germany",27th November 2022 ," Big Box, Kempten, Germany",27/11/2022,
2709,"29th November 2022 @ Messehalle, Dresden, Germany",29th November 2022 ," Messehalle, Dresden, Germany",29/11/2022,
2710,"30th November 2022 @ Sporthalle, Hamburg, Germany",30th November 2022 ," Sporthalle, Hamburg, Germany",30/11/2022,
2711,"2nd December 2022 @ Thüringenhalle, Erfurt, Germany",2nd December 2022 ," Thüringenhalle, Erfurt, Germany",02/12/2022,
2712,"3rd December 2022 @ Emsland Arena, Lingen, Germany",3rd December 2022 ," Emsland Arena, Lingen, Germany",03/12/2022,
2713,"4th December 2022 @ Swiss Life Hall, Hanover, Germany",4th December 2022 ," Swiss Life Hall, Hanover, Germany",04/12/2022,
2714,"6th December 2022 @ Mitsubishi Electrichalle, Dusseldorf, Germany",6th December 2022 ," Mitsubishi Electrichalle, Dusseldorf, Germany",06/12/2022,
2715,"7th December 2022 @ Halle 622, Zürich, Switzerland",7th December 2022 ," Halle 622, Zürich, Switzerland",07/12/2022,
2716,"9th December 2022 @ Bergfest, Saalbach, Austria",9th December 2022 ," Bergfest, Saalbach, Austria",09/12/2022,
2717,"10th December 2022 @ Gasometer, Vienna, Austria",10th December 2022 ," Gasometer, Vienna, Austria",10/12/2022,
2718,"11th December 2022 @ Posthof, Linz, Austria",11th December 2022 ," Posthof, Linz, Austria",11/12/2022,
2719,"13th December 2022 @ Zenith, Munich, Germany",13th December 2022 ," Zenith, Munich, Germany",13/12/2022,
2720,"14th December 2022 @ Hans Martin Schleyer Halle, Stuttgart, Germany",14th December 2022 ," Hans Martin Schleyer Halle, Stuttgart, Germany",14/12/2022,
2721,"15th December 2022 @ Max Schmeling Halle, Berlin, Germany",15th December 2022 ," Max Schmeling Halle, Berlin, Germany",15/12/2022,
2722,"17th January 2023 @ The Forum, Tunbridge Wells, UK",17th January 2023 ," The Forum, Tunbridge Wells, UK",17/01/2023,
2723,"18th January 2023 @ The Hard Rock Cafe, London, UK",18th January 2023 ," The Hard Rock Cafe, London, UK",18/01/2023,
2724,"20th January 2023 @ Princess Pavilion, Falmouth, UK",20th January 2023 ," Princess Pavilion, Falmouth, UK",20/01/2023,
2725,"21st January 2023 @ KK’s Steel Mill, Wolverhampton, UK",21st January 2023 ," KK’s Steel Mill, Wolverhampton, UK",21/01/2023,
2726,"23rd January 2023 @ O2 Academy, Leicester, UK",23rd January 2023 ," O2 Academy, Leicester, UK",23/01/2023,
2727,"24th January 2023 @ The Forum, Bath, UK",24th January 2023 ," The Forum, Bath, UK",24/01/2023,
2728,"25th January 2023 @ The Tivoli, Buckley, UK",25th January 2023 ," The Tivoli, Buckley, UK",25/01/2023,
2729,"26th January 2023 @ The Houses Of Parliament, London, UK",26th January 2023 ," The Houses Of Parliament, London, UK",26/01/2023,
2730,"27th January 2023 @ Fat Sam’s, Dundee, UK",27th January 2023 ," Fat Sam’s, Dundee, UK",27/01/2023,
2731,"28th January 2023 @ Kanteena, Lancaster, UK",28th January 2023 ," Kanteena, Lancaster, UK",28/01/2023,
2732,"30th January 2023 @ Newcastle University, UK",30th January 2023 ," Newcastle University, UK",30/01/2023,
2733,"31st January 2023 @ The Barbican, York, UK",31st January 2023 ," The Barbican, York, UK",31/01/2023,
2734,"1st February 2023 @ Victoria Hall, Stoke, UK",1st February 2023 ," Victoria Hall, Stoke, UK",01/02/2023,
2735,"3rd February 2023 @ The Dome, Brighton, UK",3rd February 2023 ," The Dome, Brighton, UK",03/02/2023,
2736,"4th February 2023 @ The Corn Exchange, Ipswich, UK",4th February 2023 ," The Corn Exchange, Ipswich, UK",04/02/2023,
2737,"6th February 2023 @ The Roadmender, Northampton, UK",6th February 2023 ," The Roadmender, Northampton, UK",06/02/2023,
2738,"7th February 2023 @ The Guildhall, Portsmouth, UK",7th February 2023 ," The Guildhall, Portsmouth, UK",07/02/2023,
2739,"8th February 2023 @ Leas Cliff Hall, Folkestone, UK",8th February 2023 ," Leas Cliff Hall, Folkestone, UK",08/02/2023,
2740,"9th February 2023 @ Shepherds Bush Empire, London, UK",9th February 2023 ," Shepherds Bush Empire, London, UK",09/02/2023,
2741,"15th February 2023 @ Three Wise Monkeys, Colchester, UK",15th February 2023 ," Three Wise Monkeys, Colchester, UK",15/02/2023,
2742,"25th February 2023 @ The Rescue Rooms, Nottingham, UK",25th February 2023 ," The Rescue Rooms, Nottingham, UK",25/02/2023,
2743,"23rd March 2023 @ Town Hall, Christchurch, New Zealand",23rd March 2023 ," Town Hall, Christchurch, New Zealand",23/03/2023,
2744,"25th March 2023 @ Spark Arena, Auckland, New Zealand",25th March 2023 ," Spark Arena, Auckland, New Zealand",25/03/2023,
2745,"27th March 2023 @ Meow, Wellington, New Zealand",27th March 2023 ," Meow, Wellington, New Zealand",27/03/2023,
2746,"31st March 2023 @ The Railway Club, Darwin, NT, Australia",31st March 2023 ," The Railway Club, Darwin, NT, Australia",31/03/2023,
2747,"2nd April 2023 @ Altar, Hobart, TAS, Australia",2nd April 2023 ," Altar, Hobart, TAS, Australia",02/04/2023,
2748,"4th April 2023 @ Palais Theatre, Melbourne, VIC, Australia",4th April 2023 ," Palais Theatre, Melbourne, VIC, Australia",04/04/2023,
2749,"6th April 2023 @ Hamer Hall, Melbourne, VIC, Australia",6th April 2023 ," Hamer Hall, Melbourne, VIC, Australia",06/04/2023,
2750,"8th April 2023 @ Byron Bay Bluesfest, NSW, Australia",8th April 2023 ," Byron Bay Bluesfest, NSW, Australia",08/04/2023,
2751,"9th April 2023 @ Enmore Theatre, Sydney, NSW, Australia",9th April 2023 ," Enmore Theatre, Sydney, NSW, Australia",09/04/2023,
2752,"10th April 2023 @ Hamilton Station Hotel, Newcastle, NSW, Australia",10th April 2023 ," Hamilton Station Hotel, Newcastle, NSW, Australia",10/04/2023,
2753,"11th April 2023 @ Enmore Theatre, Sydney, NSW, Australia",11th April 2023 ," Enmore Theatre, Sydney, NSW, Australia",11/04/2023,
2754,"25th April 2023 @ Midway Music Hall, Edmonton, AB, Canada",25th April 2023 ," Midway Music Hall, Edmonton, AB, Canada",25/04/2023,
2755,"26th April 2023 @ MacEwan Hall, Calgary, AB, Canada",26th April 2023 ," MacEwan Hall, Calgary, AB, Canada",26/04/2023,
2756,"27th April 2023 @ The Wilma, Missoula, MT, USA",27th April 2023 ," The Wilma, Missoula, MT, USA",27/04/2023,
2757,"29th April 2023 @ The Fillmore, Minneapolis, MN, USA",29th April 2023 ," The Fillmore, Minneapolis, MN, USA",29/04/2023,
2758,"30th April 2023 @ Pabst Theatre, Milwaukee, WI, USA",30th April 2023 ," Pabst Theatre, Milwaukee, WI, USA",30/04/2023,
2759,"3rd May 2023 @ History, Toronto, ON, Canada",3rd May 2023 ," History, Toronto, ON, Canada",03/05/2023,
2760,"5th May 2023 @ Olympia, Montréal, QC, Canada",5th May 2023 ," Olympia, Montréal, QC, Canada",05/05/2023,
2761,"6th May 2023 @ Hampton Beach Casino, Hampton Beach, NH, USA",6th May 2023 ," Hampton Beach Casino, Hampton Beach, NH, USA",06/05/2023,
2762,"7th May 2023 @ MGM Music Hall Fenway, Boston, MA, USA",7th May 2023 ," MGM Music Hall Fenway, Boston, MA, USA",07/05/2023,
2763,"9th May 2023 @ XL Live, Harrisburg, PA, USA",9th May 2023 ," XL Live, Harrisburg, PA, USA",09/05/2023,
2764,"10th May 2023 @ The Dome @ Oakdale, Wallingford, CT, USA",#SPILL!,,#SPILL!,
2765,"12th May 2023 @ Pier 17 Rooftop, New York, NY, USA",12th May 2023 ," Pier 17 Rooftop, New York, NY, USA",12/05/2023,
2766,"13th May 2023 @ Stone Pony Summer Stage, Asbury Park, NJ, USA",13th May 2023 ," Stone Pony Summer Stage, Asbury Park, NJ, USA",13/05/2023,
2767,"14th May 2023 @ The Fillmore, Philadelphia, PA, USA",14th May 2023 ," The Fillmore, Philadelphia, PA, USA",14/05/2023,
2768,"16th May 2023 @ The Norva, Norfolk, VA, USA",16th May 2023 ," The Norva, Norfolk, VA, USA",16/05/2023,
2769,"17th May 2023 @ The Fillmore, Silver Spring, MD, USA",17th May 2023 ," The Fillmore, Silver Spring, MD, USA",17/05/2023,
2770,"19th May 2023 @ Bogart’s, Cincinnati, OH, USA",19th May 2023 ," Bogart’s, Cincinnati, OH, USA",19/05/2023,
2771,"20th May 2023 @ The Pageant, St Louis, MO, USA",20th May 2023 ," The Pageant, St Louis, MO, USA",20/05/2023,
2772,"21st May 2023 @ The Fillmore, Denver, CO, USA",21st May 2023 ," The Fillmore, Denver, CO, USA",21/05/2023,
2773,"23rd May 2023 @ The Complex, Salt Lake City, UT, USA",23rd May 2023 ," The Complex, Salt Lake City, UT, USA",23/05/2023,
2774,"2nd June 2023 @ Slam Dunk Festival, Rimini, Italy",2nd June 2023 ," Slam Dunk Festival, Rimini, Italy",02/06/2023,
2775,"4th June 2023 @ SBAM Festival, Linz, Austria",4th June 2023 ," SBAM Festival, Linz, Austria",04/06/2023,
2776,"5th June 2023 @ Kino Siska, Ljubljana, Slovenia",5th June 2023 ," Kino Siska, Ljubljana, Slovenia",05/06/2023,
2777,"6th June 2023 @ Refinery Gallery, Bratislava, Slovakia",6th June 2023 ," Refinery Gallery, Bratislava, Slovakia",06/06/2023,
2778,"7th June 2023 @ Budapest Park, Budapest, Hungary",7th June 2023 ," Budapest Park, Budapest, Hungary",07/06/2023,
2779,"10th June 2023 @ Progresja, Warsaw, Poland",10th June 2023 ," Progresja, Warsaw, Poland",10/06/2023,
2780,"12th June 2023 @ Palladium, Riga, Latvia",12th June 2023 ," Palladium, Riga, Latvia",12/06/2023,
2781,"14th June 2023 @ Music Club B17, Poznan, Poland",14th June 2023 ," Music Club B17, Poznan, Poland",14/06/2023,
2782,"16th June 2023 @ Southside Festival, Neuhausen Ob Eck, Germany",16th June 2023 ," Southside Festival, Neuhausen Ob Eck, Germany",16/06/2023,
2783,"18th June 2023 @ Hurricane Festival, Scheessel, Germany",18th June 2023 ," Hurricane Festival, Scheessel, Germany",18/06/2023,
2784,"23rd June 2023 @ Jera-On-Air Festival, Ysselsteyn, Netherlands",23rd June 2023 ," Jera-On-Air Festival, Ysselsteyn, Netherlands",23/06/2023,
2785,"23rd June 2023 @ Jera-On-Air Festival, Ysselsteyn, Netherlands",23rd June 2023 ," Jera-On-Air Festival, Ysselsteyn, Netherlands",23/06/2023,
2786,"24th June 2023 @ Vainstream Festival, Münster, Germany",24th June 2023 ," Vainstream Festival, Münster, Germany",24/06/2023,
2787,"25th June 2023 @ Mighty Sounds Festival, Tabor, Czech Republic",25th June 2023 ," Mighty Sounds Festival, Tabor, Czech Republic",25/06/2023,
2788,"6th July 2023 @ Hyde Park, London, UK",6th July 2023 ," Hyde Park, London, UK",06/07/2023,
2789,"24th July 2023 @ The Hot Box, Chelmsford, UK",24th July 2023 ," The Hot Box, Chelmsford, UK",24/07/2023,
2790,"24th July 2023 @ The Hot Box, Chelmsford, UK",24th July 2023 ," The Hot Box, Chelmsford, UK",24/07/2023,
2791,"29th July 2023 @ Kendal Calling Festival, Kendal, UK",29th July 2023 ," Kendal Calling Festival, Kendal, UK",29/07/2023,
2792,"5th August 2023 @ Brakrock Festival, Duffel, Belgium",5th August 2023 ," Brakrock Festival, Duffel, Belgium",05/08/2023,
2793,"7th August 2023 @ Muhle Hunzigen, Bern, Switzerland",7th August 2023 ," Muhle Hunzigen, Bern, Switzerland",07/08/2023,
2794,"9th August 2023 @ Punk Rock Holiday Festival, Tolmin, Slovenia",9th August 2023 ," Punk Rock Holiday Festival, Tolmin, Slovenia",09/08/2023,
2795,"11th August 2023 @ Rocco Del Schlacko Festival, Püttlingen, Germany",11th August 2023 ," Rocco Del Schlacko Festival, Püttlingen, Germany",11/08/2023,
2796,"12th August 2023 @ Taubertal Festival, Rothenburg-ob-der-Tauber, Germany",12th August 2023 ," Taubertal Festival, Rothenburg-ob-der-Tauber, Germany",12/08/2023,
2797,"13th August 2023 @ Open Flair Festival, Eschwege, Germany",13th August 2023 ," Open Flair Festival, Eschwege, Germany",13/08/2023,
2798,"25th August 2023 @ Reading Festival, UK",25th August 2023 ," Reading Festival, UK",25/08/2023,
2799,"26th August 2023 @ Leeds Festival, UK",26th August 2023 ," Leeds Festival, UK",26/08/2023,
2800,"26th August 2023 @ Towersey Festival, UK",26th August 2023 ," Towersey Festival, UK",26/08/2023,
2801,"27th August 2023 @ Foolhardy Folk Festival, Nottingham, UK",27th August 2023 ," Foolhardy Folk Festival, Nottingham, UK",27/08/2023,
2802,"30th August 2023 @ Yaamava Theatre, Highland, CA, USA",30th August 2023 ," Yaamava Theatre, Highland, CA, USA",30/08/2023,
2803,"31st August 2023 @ Arizona Financial Theatre, Phoenix, AZ, USA",31st August 2023 ," Arizona Financial Theatre, Phoenix, AZ, USA",31/08/2023,
2804,"2nd September 2023 @ Pearl Theatre, Las Vegas, NV, USA",2nd September 2023 ," Pearl Theatre, Las Vegas, NV, USA",02/09/2023,
2805,"3rd September 2023 @ Rady Shell, San Diego, CA, USA",3rd September 2023 ," Rady Shell, San Diego, CA, USA",03/09/2023,
2806,"6th September 2023 @ The Stanley Hotel, Estes Park, CO, USA",6th September 2023 ," The Stanley Hotel, Estes Park, CO, USA",06/09/2023,
2807,"7th September 2023 @ The Stanley Hotel, Estes Park, CO, USA",7th September 2023 ," The Stanley Hotel, Estes Park, CO, USA",07/09/2023,
2808,"8th September 2023 @ The Stanley Hotel, Estes Park, CO, USA",8th September 2023 ," The Stanley Hotel, Estes Park, CO, USA",08/09/2023,
2809,"9th September 2023 @ The Stanley Hotel, Estes Park, CO, USA",9th September 2023 ," The Stanley Hotel, Estes Park, CO, USA",09/09/2023,
2810,"11th September 2023 @ The Blue Note, Columbia, MO, USA",11th September 2023 ," The Blue Note, Columbia, MO, USA",11/09/2023,
2811,"12th September 2023 @ Wooly’s, Des Moines, IA, USA",12th September 2023 ," Wooly’s, Des Moines, IA, USA",12/09/2023,
2812,"14th September 2023 @ The Vogue, Indianapolis, IN, USA",14th September 2023 ," The Vogue, Indianapolis, IN, USA",14/09/2023,
2813,"15th September 2023 @ The Chop Shop, Chicago, IL, USA",15th September 2023 ," The Chop Shop, Chicago, IL, USA",15/09/2023,
2814,"16th September 2023 @ Riot Fest, Chicago, IL, USA",16th September 2023 ," Riot Fest, Chicago, IL, USA",16/09/2023,
2815,"18th September 2023 @ Goldfields Trading Post, Roseville, CA, USA",18th September 2023 ," Goldfields Trading Post, Roseville, CA, USA",18/09/2023,
2816,"21st September 2023 @ Lost Evenings 6, House Of Blues, Anaheim, CA, USA",21st September 2023 ," Lost Evenings 6, House Of Blues, Anaheim, CA, USA",21/09/2023,
2817,"22nd September 2023 @ Lost Evenings 6, House Of Blues, Anaheim, CA, USA",22nd September 2023 ," Lost Evenings 6, House Of Blues, Anaheim, CA, USA",22/09/2023,
2818,"23rd September 2023 @ Lost Evenings 6, House Of Blues, Anaheim, CA, USA",23rd September 2023 ," Lost Evenings 6, House Of Blues, Anaheim, CA, USA",23/09/2023,
2819,"24th September 2023 @ Lost Evenings 6, House Of Blues, Anaheim, CA, USA",24th September 2023 ," Lost Evenings 6, House Of Blues, Anaheim, CA, USA",24/09/2023,
2820,"4th October 2023 @ Sala Nazca, Madrid, Spain",4th October 2023 ," Sala Nazca, Madrid, Spain",04/10/2023,
2821,"5th October 2023 @ Wolf, Barcelona, Spain",5th October 2023 ," Wolf, Barcelona, Spain",05/10/2023,
2822,"25th October 2023 @ John Dee, Oslo, Norway",25th October 2023 ," John Dee, Oslo, Norway",25/10/2023,
2823,"26th October 2023 @ Kuudes Linja, Helsinki, Finland",26th October 2023 ," Kuudes Linja, Helsinki, Finland",26/10/2023,
2824,"27th October 2023 @ Pustervik, Gothenburg, Sweden",27th October 2023 ," Pustervik, Gothenburg, Sweden",27/10/2023,
2825,"28th October 2023 @ Bar Brooklyn, Stockholm, Sweden",28th October 2023 ," Bar Brooklyn, Stockholm, Sweden",28/10/2023,
2826,"29th October 2023 @ Lille Vega, Copenhagen, Denmark",29th October 2023 ," Lille Vega, Copenhagen, Denmark",29/10/2023,
2827,"17th November 2023 @ The Hunter Lounge, Wellington, New Zealand",17th November 2023 ," The Hunter Lounge, Wellington, New Zealand",17/11/2023,
2828,"18th November 2023 @ Studio The Venue, Auckland, New Zealand",18th November 2023 ," Studio The Venue, Auckland, New Zealand",18/11/2023,
2829,"21st November 2023 @ The Basement, Canberra, ACT, Australia",21st November 2023 ," The Basement, Canberra, ACT, Australia",21/11/2023,
2830,"22nd November 2023 @ Enmore Theatre, Sydney, NSW, Australia",22nd November 2023 ," Enmore Theatre, Sydney, NSW, Australia",22/11/2023,
2831,"24th November 2023 @ Tivoli, Brisbane, QLD, Australia",24th November 2023 ," Tivoli, Brisbane, QLD, Australia",24/11/2023,
2832,"25th November 2023 @ Queenscliff Music Festival, VIC, Australia",25th November 2023 ," Queenscliff Music Festival, VIC, Australia",25/11/2023,
2833,"26th November 2023 @ The Forum, Melbourne, VIC, Australia",26th November 2023 ," The Forum, Melbourne, VIC, Australia",26/11/2023,
2834,"28th November 2023 @ The Astor Theatre, Perth, WA, Australia",28th November 2023 ," The Astor Theatre, Perth, WA, Australia",28/11/2023,
2835,"29th November 2023 @ Hindley Street Music Hall, Adelaide, SA, Australia",29th November 2023 ," Hindley Street Music Hall, Adelaide, SA, Australia",29/11/2023,
2836,"3rd December 2023 @ Clockenflap Festival, Hong Kong",3rd December 2023 ," Clockenflap Festival, Hong Kong",03/12/2023,
2837,"8th December 2023 @ The Railway Inn, Winchester, UK",8th December 2023 ," The Railway Inn, Winchester, UK",08/12/2023,
2838,"9th February 2024 @ The 100 Club, London, UK",9th February 2024 ," The 100 Club, London, UK",09/02/2024,
2839,"11th March 2024 @ The Backyard, Austin, TX, USA",11th March 2024 ," The Backyard, Austin, TX, USA",11/03/2024,
2840,"12th March 2024 @ Caritas Soup Kitchen, Austin, TX, USA",12th March 2024 ," Caritas Soup Kitchen, Austin, TX, USA",12/03/2024,
2841,"13th March 2024 @ The Parish, Austin, TX, USA",13th March 2024 ," The Parish, Austin, TX, USA",13/03/2024,
2842,"13th March 2024 @ The Backyard, Austin, TX, USA",13th March 2024 ," The Backyard, Austin, TX, USA",13/03/2024,
2843,"14th March 2024 @ Hotel Van Zandt, Austin, TX, USA",14th March 2024 ," Hotel Van Zandt, Austin, TX, USA",14/03/2024,
2844,"14th March 2024 @ The Inn Cahoots, Austin, TX, USA",14th March 2024 ," The Inn Cahoots, Austin, TX, USA",14/03/2024,
2845,"15th March 2024 @ Majestic Ventura Theatre, Ventura, CA, USA",15th March 2024 ," Majestic Ventura Theatre, Ventura, CA, USA",15/03/2024,
2846,"16th March 2024 @ Shamrock Rebellion, Silverado, CA, USA",16th March 2024 ," Shamrock Rebellion, Silverado, CA, USA",16/03/2024,
2847,"17th March 2024 @ Shamrock Rebellion, Las Vegas, NV, USA",17th March 2024 ," Shamrock Rebellion, Las Vegas, NV, USA",17/03/2024,
2848,"25th March 2024 @ Coretex Records, Berlin, Germany",25th March 2024 ," Coretex Records, Berlin, Germany",25/03/2024,
2849,"25th March 2024 @ Clash, Berlin, Germany",25th March 2024 ," Clash, Berlin, Germany",25/03/2024,
2850,"27th March 2024 @ Radio Bob, Kassel, Germany",27th March 2024 ," Radio Bob, Kassel, Germany",27/03/2024,
2851,"28th March 2024 @ FluxBau, Berlin, Germany",28th March 2024 ," FluxBau, Berlin, Germany",28/03/2024,
2852,"15th April 2024 @ Dine Alone Records, Toronto, ON, Canada",15th April 2024 ," Dine Alone Records, Toronto, ON, Canada",15/04/2024,
2853,"17th April 2024 @ Rough Trade Records, New York, NY, USA",17th April 2024 ," Rough Trade Records, New York, NY, USA",17/04/2024,
2854,"18th April 2024 @ Looney Tunes Records, West Babylon, NY, USA",18th April 2024 ," Looney Tunes Records, West Babylon, NY, USA",18/04/2024,
2855,"18th April 2024 @ Crossroads, Garwood, NJ, USA",18th April 2024 ," Crossroads, Garwood, NJ, USA",18/04/2024,
2856,"20th April 2024 @ Electric Fetus Parking Lot, Minneapolis, MN, USA",20th April 2024 ," Electric Fetus Parking Lot, Minneapolis, MN, USA",20/04/2024,
2857,"24th April 2024 @ Fingerprints Music, Long Beach, CA, USA",24th April 2024 ," Fingerprints Music, Long Beach, CA, USA",24/04/2024,
2858,"1st May 2024 @ Ramones Museum, Berlin, Germany",1st May 2024 ," Ramones Museum, Berlin, Germany",01/05/2024,
2859,"2nd May 2024 @ TV Noir, Berlin, Germany",2nd May 2024 ," TV Noir, Berlin, Germany",02/05/2024,
2860,"2nd May 2024 @ Studio Eins, Berlin, Germany",2nd May 2024 ," Studio Eins, Berlin, Germany",02/05/2024,
2861,"4th May 2024 @ Jacaranda Baltic, Liverpool, UK",4th May 2024 ," Jacaranda Baltic, Liverpool, UK",04/05/2024,
2862,"4th May 2024 @ The Parish, Huddersfield, UK",4th May 2024 ," The Parish, Huddersfield, UK",04/05/2024,
2863,"4th May 2024 @ Boom, Leeds, UK",4th May 2024 ," Boom, Leeds, UK",04/05/2024,
2864,"4th May 2024 @ The Foundry, Sheffield, UK",4th May 2024 ," The Foundry, Sheffield, UK",04/05/2024,
2865,"4th May 2024 @ Gasoline, Chesterfield, UK",4th May 2024 ," Gasoline, Chesterfield, UK",04/05/2024,
2866,"4th May 2024 @ Saltbox, Nottingham, UK",4th May 2024 ," Saltbox, Nottingham, UK",04/05/2024,
2867,"4th May 2024 @ RMBL, Birmingham, UK",4th May 2024 ," RMBL, Birmingham, UK",04/05/2024,
2868,"5th May 2024 @ Temperance, Leamington Spa, UK",5th May 2024 ," Temperance, Leamington Spa, UK",05/05/2024,
2869,"5th May 2024 @ Black Crow Bar, Leighton Buzzard, UK",5th May 2024 ," Black Crow Bar, Leighton Buzzard, UK",05/05/2024,
2870,"5th May 2024 @ The Underworld, London, UK",5th May 2024 ," The Underworld, London, UK",05/05/2024,
2871,"5th May 2024 @ Banquet Records, Kingston-Upon-Thamex, UK",5th May 2024 ," Banquet Records, Kingston-Upon-Thamex, UK",05/05/2024,
2872,"5th May 2024 @ West End Centre, Aldershot, UK",5th May 2024 ," West End Centre, Aldershot, UK",05/05/2024,
2873,"5th May 2024 @ Staggeringly Good Brewery, Portsmouth, UK",5th May 2024 ," Staggeringly Good Brewery, Portsmouth, UK",05/05/2024,
2874,"5th May 2024 @ The Railway Inn, Winchester, UK",5th May 2024 ," The Railway Inn, Winchester, UK",05/05/2024,
